step 0, L: -0.09776, E:3.33865            T: 1.54248, V: -1.64024, C: 3.43641,             I: 1.0000, ci: 0.00000, logDetJac: 0.05549
step 5, L: -1.49551, E:0.32850            T: 0.21913, V: -1.71463, C: 1.82401,             I: 1.0000, ci: 0.00000, logDetJac: -0.184
step 10, L: -1.53067, E:0.18658            T: 0.14716, V: -1.67783, C: 1.71725,             I: 1.0000, ci: 0.00000, logDetJac: -0.2812
step 15, L: -1.39501, E:0.17727            T: 0.20655, V: -1.74883, C: 1.71955,             I: 1.0000, ci: 0.08565, logDetJac: -0.2899
step 20, L: -0.68604, E:-0.04413            T: 0.09009, V: -1.44424, C: 1.31002,             I: 1.0000, ci: 0.51000, logDetJac: -0.1349
step 25, L: -0.22300, E:-0.22300            T: 0.08789, V: -1.56093, C: 1.25004,             I: 1.0000, ci: 1.00000, logDetJac: -0.081
step 30, L: -0.14547, E:-0.14547            T: 0.03455, V: -1.11819, C: 0.93816,             I: 1.0000, ci: 1.00000, logDetJac: 0.01174
step 35, L: -0.33585, E:-0.33585            T: 0.03550, V: -1.18607, C: 0.81471,             I: 0.9999, ci: 1.00000, logDetJac: 0.2814
step 40, L: -0.28798, E:-0.28798            T: 0.05495, V: -1.28033, C: 0.93740,             I: 0.9999, ci: 1.00000, logDetJac: 0.2646
step 45, L: -0.24260, E:-0.24260            T: 0.03201, V: -1.11983, C: 0.84523,             I: 0.9999, ci: 1.00000, logDetJac: 0.2672
step 50, L: -0.15850, E:-0.15850            T: 0.02322, V: -1.00305, C: 0.82133,             I: 0.9968, ci: 1.00000, logDetJac: 0.563
