step 0, L: -1.23715, E:0.32537            T: 0.05269, V: -1.28984, C: 1.56253,             I: 0.9996, ci: 0.00000, logDetJac: -0.121
step 5, L: -1.28406, E:0.33635            T: 0.07070, V: -1.35476, C: 1.62042,             I: 1.0000, ci: 0.00000, logDetJac: -0.07671
step 10, L: -1.51860, E:0.67158            T: 0.17566, V: -1.69427, C: 2.19018,             I: 1.0000, ci: 0.00000, logDetJac: -0.08261
step 15, L: -1.56774, E:0.65052            T: 0.20867, V: -1.77641, C: 2.21826,             I: 1.0000, ci: 0.00000, logDetJac: -0.1194
step 20, L: -1.55783, E:1.25854            T: 0.26932, V: -1.82715, C: 2.81637,             I: 1.0000, ci: 0.00000, logDetJac: -0.1772
step 25, L: -1.57278, E:0.99014            T: 0.17127, V: -1.74405, C: 2.56292,             I: 1.0000, ci: 0.00000, logDetJac: -0.2104
step 30, L: -1.58895, E:0.80045            T: 0.19077, V: -1.77972, C: 2.38940,             I: 1.0000, ci: 0.00000, logDetJac: -0.2268
step 35, L: -1.58202, E:0.84276            T: 0.20388, V: -1.78590, C: 2.42479,             I: 1.0000, ci: 0.00000, logDetJac: -0.2495
step 40, L: -1.59723, E:0.91007            T: 0.20796, V: -1.80519, C: 2.50730,             I: 1.0000, ci: 0.00000, logDetJac: -0.2745
step 45, L: -1.59335, E:0.91914            T: 0.20694, V: -1.80029, C: 2.51249,             I: 1.0000, ci: 0.00000, logDetJac: -0.2853
step 50, L: -1.58613, E:0.72488            T: 0.19870, V: -1.78483, C: 2.31101,             I: 1.0000, ci: 0.00000, logDetJac: -0.2987
step 55, L: -1.59453, E:0.79266            T: 0.20085, V: -1.79538, C: 2.38719,             I: 1.0000, ci: 0.00000, logDetJac: -0.3058
step 60, L: -1.58994, E:0.80790            T: 0.18735, V: -1.77728, C: 2.39783,             I: 1.0000, ci: 0.00000, logDetJac: -0.3231
step 65, L: -1.59847, E:0.85195            T: 0.23338, V: -1.83185, C: 2.45042,             I: 1.0000, ci: 0.00000, logDetJac: -0.3276
step 70, L: -1.59036, E:0.60212            T: 0.20754, V: -1.79789, C: 2.19248,             I: 1.0000, ci: 0.00000, logDetJac: -0.3396
step 75, L: -1.59553, E:1.48783            T: 0.23948, V: -1.83501, C: 3.08336,             I: 1.0000, ci: 0.00000, logDetJac: -0.3397
step 80, L: -1.58282, E:0.93279            T: 0.21069, V: -1.79351, C: 2.51562,             I: 1.0000, ci: 0.00000, logDetJac: -0.3506
step 85, L: -1.59174, E:0.97378            T: 0.26609, V: -1.85783, C: 2.56552,             I: 1.0000, ci: 0.00000, logDetJac: -0.3501
step 90, L: -1.60123, E:1.06826            T: 0.24546, V: -1.84668, C: 2.66949,             I: 1.0000, ci: 0.00000, logDetJac: -0.3474
step 95, L: -1.58848, E:0.70669            T: 0.17470, V: -1.76318, C: 2.29517,             I: 1.0000, ci: 0.00000, logDetJac: -0.3455
step 100, L: -1.57885, E:0.55971            T: 0.16106, V: -1.73991, C: 2.13856,             I: 1.0000, ci: 0.00000, logDetJac: -0.3354
step 105, L: -1.59102, E:0.90657            T: 0.20341, V: -1.79443, C: 2.49759,             I: 1.0000, ci: 0.00000, logDetJac: -0.3291
step 110, L: -1.58305, E:1.02765            T: 0.20456, V: -1.78762, C: 2.61071,             I: 1.0000, ci: 0.00000, logDetJac: -0.3273
step 115, L: -1.59190, E:0.82409            T: 0.18336, V: -1.77526, C: 2.41600,             I: 1.0000, ci: 0.00000, logDetJac: -0.3243
step 120, L: -1.58114, E:0.61508            T: 0.19451, V: -1.77566, C: 2.19622,             I: 1.0000, ci: 0.00000, logDetJac: -0.3282
step 125, L: -1.58768, E:0.92361            T: 0.20065, V: -1.78833, C: 2.51129,             I: 1.0000, ci: 0.00000, logDetJac: -0.3345
step 130, L: -1.58381, E:1.05588            T: 0.19650, V: -1.78031, C: 2.63969,             I: 1.0000, ci: 0.00000, logDetJac: -0.3401
step 135, L: -1.59350, E:0.85829            T: 0.19606, V: -1.78956, C: 2.45179,             I: 1.0000, ci: 0.00000, logDetJac: -0.3416
step 140, L: -1.59333, E:0.80296            T: 0.20706, V: -1.80039, C: 2.39629,             I: 1.0000, ci: 0.00000, logDetJac: -0.3458
step 145, L: -1.58909, E:0.73775            T: 0.20342, V: -1.79251, C: 2.32684,             I: 1.0000, ci: 0.00000, logDetJac: -0.3489
step 150, L: -1.58652, E:0.93729            T: 0.18963, V: -1.77615, C: 2.52380,             I: 1.0000, ci: 0.00000, logDetJac: -0.3432
step 155, L: -1.58996, E:0.93775            T: 0.19093, V: -1.78088, C: 2.52771,             I: 1.0000, ci: 0.00000, logDetJac: -0.3438
step 160, L: -1.59598, E:0.82844            T: 0.20329, V: -1.79927, C: 2.42442,             I: 1.0000, ci: 0.00000, logDetJac: -0.3459
step 165, L: -1.60406, E:1.00191            T: 0.22375, V: -1.82781, C: 2.60598,             I: 1.0000, ci: 0.00000, logDetJac: -0.3476
step 170, L: -1.59212, E:0.71920            T: 0.21823, V: -1.81035, C: 2.31131,             I: 1.0000, ci: 0.00000, logDetJac: -0.3521
step 175, L: -1.59615, E:0.83601            T: 0.20701, V: -1.80316, C: 2.43216,             I: 1.0000, ci: 0.00000, logDetJac: -0.3574
step 180, L: -1.59969, E:1.11455            T: 0.21857, V: -1.81826, C: 2.71424,             I: 1.0000, ci: 0.00000, logDetJac: -0.3581
step 185, L: -1.59292, E:1.05852            T: 0.22853, V: -1.82145, C: 2.65145,             I: 1.0000, ci: 0.00000, logDetJac: -0.3593
step 190, L: -1.56290, E:0.78045            T: 0.19227, V: -1.80372, C: 2.39190,             I: 1.0000, ci: 0.02030, logDetJac: -0.3552
step 195, L: -1.53505, E:1.19704            T: 0.22816, V: -1.82663, C: 2.79550,             I: 1.0000, ci: 0.02268, logDetJac: -0.3541
step 200, L: -1.52177, E:1.06288            T: 0.21223, V: -1.80694, C: 2.65759,             I: 1.0000, ci: 0.02744, logDetJac: -0.3515
step 205, L: -1.51561, E:0.90828            T: 0.20310, V: -1.80547, C: 2.51065,             I: 1.0000, ci: 0.03456, logDetJac: -0.3449
step 210, L: -1.48673, E:0.79194            T: 0.19540, V: -1.78696, C: 2.38351,             I: 1.0000, ci: 0.04398, logDetJac: -0.3444
step 215, L: -1.45796, E:0.78140            T: 0.19013, V: -1.78013, C: 2.37139,             I: 1.0000, ci: 0.05568, logDetJac: -0.3475
step 220, L: -1.44427, E:0.54993            T: 0.17346, V: -1.76689, C: 2.14336,             I: 1.0000, ci: 0.06959, logDetJac: -0.3433
step 225, L: -1.38587, E:0.66040            T: 0.17030, V: -1.74785, C: 2.23794,             I: 1.0000, ci: 0.08565, logDetJac: -0.3452
step 230, L: -1.31207, E:0.97162            T: 0.15848, V: -1.73497, C: 2.54811,             I: 1.0000, ci: 0.10377, logDetJac: -0.3423
step 235, L: -1.29107, E:0.73403            T: 0.15959, V: -1.73699, C: 2.31143,             I: 1.0000, ci: 0.12387, logDetJac: -0.3386
step 240, L: -1.24315, E:0.72070            T: 0.14546, V: -1.72397, C: 2.29921,             I: 1.0000, ci: 0.14586, logDetJac: -0.3345
step 245, L: -1.18813, E:0.72841            T: 0.14002, V: -1.71963, C: 2.30802,             I: 1.0000, ci: 0.16962, logDetJac: -0.3242
step 250, L: -1.15446, E:0.47105            T: 0.13703, V: -1.68533, C: 2.01935,             I: 1.0000, ci: 0.19503, logDetJac: -0.3296
step 255, L: -1.07183, E:0.40738            T: 0.09749, V: -1.59137, C: 1.90126,             I: 1.0000, ci: 0.22199, logDetJac: -0.3159
step 260, L: -1.04702, E:0.33204            T: 0.10255, V: -1.61010, C: 1.83958,             I: 1.0000, ci: 0.25034, logDetJac: -0.312
step 265, L: -0.91852, E:0.65648            T: 0.10936, V: -1.64025, C: 2.18737,             I: 1.0000, ci: 0.27996, logDetJac: -0.2966
step 270, L: -0.96222, E:0.17856            T: 0.09837, V: -1.57480, C: 1.65498,             I: 1.0000, ci: 0.31070, logDetJac: -0.2814
step 275, L: -0.88270, E:0.30486            T: 0.10263, V: -1.60370, C: 1.80593,             I: 1.0000, ci: 0.34241, logDetJac: -0.2942
step 280, L: -0.82595, E:0.27046            T: 0.09038, V: -1.57401, C: 1.75409,             I: 1.0000, ci: 0.37494, logDetJac: -0.2531
step 285, L: -0.73005, E:0.25908            T: 0.07309, V: -1.48518, C: 1.67117,             I: 1.0000, ci: 0.40812, logDetJac: -0.2235
step 290, L: -0.66287, E:0.35137            T: 0.08659, V: -1.55221, C: 1.81699,             I: 1.0000, ci: 0.44181, logDetJac: -0.2259
step 295, L: -0.66256, E:0.09588            T: 0.06404, V: -1.41506, C: 1.44690,             I: 1.0000, ci: 0.47582, logDetJac: -0.177
step 300, L: -0.62503, E:0.07184            T: 0.06052, V: -1.41087, C: 1.42219,             I: 1.0000, ci: 0.51000, logDetJac: -0.1585
step 305, L: -0.45437, E:0.29921            T: 0.06080, V: -1.41484, C: 1.65326,             I: 1.0000, ci: 0.54418, logDetJac: -0.1326
step 310, L: -0.47157, E:0.14252            T: 0.06029, V: -1.37362, C: 1.45585,             I: 1.0000, ci: 0.57819, logDetJac: -0.05719
step 315, L: -0.37438, E:0.17413            T: 0.04716, V: -1.28626, C: 1.41323,             I: 1.0000, ci: 0.61188, logDetJac: -0.008459
step 320, L: -0.45888, E:-0.01858            T: 0.04542, V: -1.30450, C: 1.24049,             I: 1.0000, ci: 0.64506, logDetJac: 0.123
step 325, L: -0.47277, E:-0.14483            T: 0.03777, V: -1.19974, C: 1.01714,             I: 1.0000, ci: 0.67759, logDetJac: 0.2515
step 330, L: -0.37084, E:-0.06480            T: 0.03345, V: -1.15102, C: 1.05277,             I: 1.0000, ci: 0.70930, logDetJac: 0.4423
step 335, L: -0.20538, E:0.16301            T: 0.05950, V: -1.31362, C: 1.41714,             I: 1.0000, ci: 0.74004, logDetJac: 0.5863
step 340, L: -0.31577, E:-0.16530            T: 0.01429, V: -0.83282, C: 0.65323,             I: 0.9995, ci: 0.76966, logDetJac: 0.8963
step 345, L: -0.08816, E:0.19829            T: 0.04780, V: -1.26770, C: 1.41819,             I: 0.9998, ci: 0.79801, logDetJac: 0.7695
step 350, L: -0.30058, E:-0.18555            T: 0.01558, V: -0.85831, C: 0.65718,             I: 0.9995, ci: 0.82497, logDetJac: 0.9412
step 355, L: -0.24299, E:-0.10300            T: 0.02765, V: -1.06633, C: 0.93567,             I: 0.9925, ci: 0.85038, logDetJac: 1.167
