step 0, L: 112.748, E:112.748            T: 105.65146, V: -5.57571, H: 12.67194, X: -1.95060, cusp: 0.00000
step 5, L: 4.444, E:4.444            T: 6.65750, V: -5.18116, H: 2.96787, X: -0.49560, cusp: 0.00000
step 10, L: -0.665, E:-0.665            T: 0.97248, V: -2.84312, H: 1.20554, X: -0.19218, cusp: 0.00000
step 15, L: -0.725, E:-0.725            T: 0.47752, V: -2.10956, H: 0.90717, X: -0.13527, cusp: 0.00000
step 20, L: -0.785, E:-0.785            T: 0.51163, V: -2.28386, H: 0.98708, X: -0.14040, cusp: 0.00000
step 25, L: -0.870, E:-0.870            T: 0.75378, V: -2.80982, H: 1.18606, X: -0.17003, cusp: 0.00000
step 30, L: -0.999, E:-0.999            T: 1.10929, V: -3.51761, H: 1.40906, X: -0.20502, cusp: 0.00000
step 35, L: -0.988, E:-0.988            T: 1.25518, V: -3.69633, H: 1.45314, X: -0.21835, cusp: 0.00000
step 40, L: -1.032, E:-1.032            T: 1.06837, V: -3.48689, H: 1.38607, X: -0.20148, cusp: 0.00000
step 45, L: -1.000, E:-1.000            T: 0.93550, V: -3.31347, H: 1.37805, X: -0.18829, cusp: 0.00000
step 50, L: -0.974, E:-0.974            T: 0.82932, V: -3.02260, H: 1.21973, X: -0.17725, cusp: 0.00000
step 55, L: -1.084, E:-1.084            T: 0.90592, V: -3.27582, H: 1.28563, X: -0.18588, cusp: 0.00000
step 60, L: -1.006, E:-1.006            T: 1.05592, V: -3.47421, H: 1.41277, X: -0.19934, cusp: 0.00000
step 65, L: -1.111, E:-1.111            T: 0.96567, V: -3.39358, H: 1.31644, X: -0.19076, cusp: 0.00000
step 70, L: -1.002, E:-1.002            T: 0.90887, V: -3.18629, H: 1.27590, X: -0.18509, cusp: 0.00000
step 75, L: -1.042, E:-1.042            T: 0.99204, V: -3.40636, H: 1.37189, X: -0.19309, cusp: 0.00000
step 80, L: -0.887, E:-0.887            T: 0.98067, V: -3.33114, H: 1.46331, X: -0.19228, cusp: 0.00000
step 85, L: -0.990, E:-0.990            T: 0.91608, V: -3.21351, H: 1.30729, X: -0.18551, cusp: 0.00000
step 90, L: -0.995, E:-0.995            T: 0.85473, V: -3.15479, H: 1.30521, X: -0.17928, cusp: 0.00000
step 95, L: -1.040, E:-1.040            T: 0.94555, V: -3.31987, H: 1.33475, X: -0.18849, cusp: 0.00000
step 100, L: -1.043, E:-1.043            T: 0.99218, V: -3.36636, H: 1.33118, X: -0.19310, cusp: 0.00000
step 105, L: -1.076, E:-1.076            T: 0.87745, V: -3.20150, H: 1.24782, X: -0.18160, cusp: 0.00000
step 110, L: -1.114, E:-1.114            T: 0.91730, V: -3.33203, H: 1.30042, X: -0.18485, cusp: 0.00000
step 115, L: -1.051, E:-1.051            T: 1.00317, V: -3.43834, H: 1.38439, X: -0.19314, cusp: 0.00000
step 120, L: -1.129, E:-1.129            T: 0.94040, V: -3.39798, H: 1.32812, X: -0.18750, cusp: 0.00000
