epoch,L,E,T,V,H,X,cusp
0,112.74768483074816,112.74768483074816,105.6514630235678,-5.575713487458907,12.671935294639267,-1.9506038462483342,0.0
1,63.54093666948908,63.54093666948908,59.56841746180669,-5.520965580033627,9.49348478771601,-1.4639670766670951,0.0
2,35.57161903695797,35.57161903695797,33.98764531419451,-5.45087180020349,7.034845522966952,-1.1129707086640468,0.0
3,17.899228755836436,17.899228755836436,18.32449497036835,-5.433417679654571,5.008151465122658,-0.8156790536619074,0.0
4,9.724373784637207,9.724373784637207,11.077312224743988,-5.331473223145927,3.978534783039147,-0.6353536506645374,0.0
5,4.444203652309273,4.444203652309273,6.657496707475945,-5.181162833553448,2.9678697783867767,-0.49560278738877045,0.0
6,1.9605428922408188,1.9605428922408188,4.159416248846835,-4.646370468949611,2.4474971123435942,-0.393853764858497,0.0
7,0.36296290747288334,0.36296290747288334,2.5843775401101654,-4.082439390312928,1.8610247576756453,-0.3102150463146883,0.0
8,-0.2855355609447012,-0.2855355609447012,1.7589123333362044,-3.6503367726792906,1.605888878398385,-0.25704833587246156,0.0
9,-0.5512551862596772,-0.5512551862596772,1.274350379726072,-3.242762635067641,1.4171570690818918,-0.21903985691197975,0.0
10,-0.6650933372386638,-0.6650933372386638,0.9724785140370464,-2.8431158711039286,1.2055440198282183,-0.1921779090262309,0.0
11,-0.8433697698735615,-0.8433697698735615,0.7376807193603099,-2.634837767314683,1.0537872780808115,-0.16757508087767514,0.0
12,-0.7779555984965199,-0.7779555984965199,0.6229702724602841,-2.396023521146742,0.9950976501899385,-0.1542868715125868,0.0
13,-0.7095807105029752,-0.7095807105029752,0.5498013600279644,-2.24731317212624,0.9879311015953003,-0.14524163409795132,0.0
14,-0.7673547346900375,-0.7673547346900375,0.5045787758698214,-2.1852853392993725,0.9133518287395135,-0.13922855649844793,0.0
15,-0.7248617216612452,-0.7248617216612452,0.47752270756641757,-2.109556141251675,0.9071717120240118,-0.13527401316521265,0.0
16,-0.7077460825460149,-0.7077460825460149,0.46547201715341585,-2.0459221502454907,0.8727040505460597,-0.13395333580142302,0.0
17,-0.7382454182321767,-0.7382454182321767,0.4604111973934268,-2.061623103394719,0.8629664877691156,-0.13322577551389034,0.0
18,-0.7011329891742032,-0.7011329891742032,0.4685922475920208,-2.076189764417945,0.9064645276517209,-0.1345180645230498,0.0
19,-0.7331229637856699,-0.7331229637856699,0.48770950886367037,-2.12688005741215,0.9060475847628097,-0.1370939218132815,0.0
20,-0.7851528572995883,-0.7851528572995883,0.511626805289983,-2.283860959195352,0.9870812966057806,-0.14039529884555044,0.0
21,-0.8083083712391563,-0.8083083712391563,0.5499054459034661,-2.3340624462926955,0.975848629150073,-0.14556162039703358,0.0
22,-0.7792915004613817,-0.7792915004613817,0.5863313678712905,-2.379007118337672,1.0133842500049999,-0.14994606841839536,0.0
23,-0.8571919998591678,-0.8571919998591678,0.6399728565005978,-2.5488684503177517,1.051703593957986,-0.1570204619511789,0.0
24,-0.9469882046362001,-0.9469882046362001,0.6865917412991518,-2.708171620903287,1.0745916749679356,-0.16242826060547955,0.0
25,-0.8699727686493599,-0.8699727686493599,0.7537832255761392,-2.809819317962152,1.1860633237366525,-0.17002673051278316,0.0
26,-0.9164342428339511,-0.9164342428339511,0.8223071580605237,-3.022150900510878,1.2834094996164034,-0.17712947440948512,0.0
27,-0.9953064646610709,-0.9953064646610709,0.917036711187284,-3.2031354825008633,1.2907923066525084,-0.18752341103427828,0.0
