step 0, L: 30.946, E:30.946            T: 33.27813, V: -5.50020, H: 3.16798, X: -0.77410, cusp: 0.00000
step 5, L: -0.130, E:-0.130            T: 0.11719, V: -0.42943, H: 0.18207, X: -0.04740, cusp: 0.00000
step 10, L: -0.075, E:-0.075            T: 0.07492, V: -0.29018, H: 0.13977, X: -0.03771, cusp: 0.00000
step 15, L: -0.100, E:-0.100            T: 0.06973, V: -0.31178, H: 0.14252, X: -0.03660, cusp: 0.00000
step 20, L: -0.174, E:-0.174            T: 0.14872, V: -0.56142, H: 0.23888, X: -0.05344, cusp: 0.00000
step 25, L: -0.074, E:-0.074            T: 0.89292, V: -1.55152, H: 0.58478, X: -0.12832, cusp: 0.00000
step 30, L: -0.205, E:-0.205            T: 0.20691, V: -0.68212, H: 0.27027, X: -0.06276, cusp: 0.00000
step 35, L: -0.212, E:-0.212            T: 0.17186, V: -0.63326, H: 0.24924, X: -0.05755, cusp: 0.00000
step 40, L: -0.141, E:-0.141            T: 0.64982, V: -1.27863, H: 0.48795, X: -0.10951, cusp: 0.00000
step 45, L: -0.252, E:-0.252            T: 0.33061, V: -0.94979, H: 0.36692, X: -0.07837, cusp: 0.00000
step 50, L: -0.261, E:-0.261            T: 0.30297, V: -0.89628, H: 0.33248, X: -0.07494, cusp: 0.00000
step 55, L: -0.307, E:-0.307            T: 0.38329, V: -1.07145, H: 0.38067, X: -0.08427, cusp: 0.00000
step 60, L: -0.258, E:-0.258            T: 0.32668, V: -0.93733, H: 0.35296, X: -0.07742, cusp: 0.00000
step 65, L: -0.275, E:-0.275            T: 0.29419, V: -0.89963, H: 0.33000, X: -0.07329, cusp: 0.00000
step 70, L: -0.282, E:-0.282            T: 0.37590, V: -1.03301, H: 0.37480, X: -0.08211, cusp: 0.00000
step 75, L: -0.333, E:-0.333            T: 0.32010, V: -1.00168, H: 0.34843, X: -0.07577, cusp: 0.00000
step 80, L: -0.290, E:-0.290            T: 0.38303, V: -1.07346, H: 0.40046, X: -0.08223, cusp: 0.00000
step 85, L: -0.354, E:-0.354            T: 0.35694, V: -1.06600, H: 0.35506, X: -0.07881, cusp: 0.00000
step 90, L: -0.333, E:-0.333            T: 0.36834, V: -1.07209, H: 0.37034, X: -0.07927, cusp: 0.00000
step 95, L: -0.401, E:-0.401            T: 0.39218, V: -1.16359, H: 0.37037, X: -0.08154, cusp: 0.00000
step 100, L: -0.375, E:-0.375            T: 0.37224, V: -1.08806, H: 0.34050, X: -0.07872, cusp: 0.00000
step 105, L: -0.408, E:-0.408            T: 0.38160, V: -1.13024, H: 0.34070, X: -0.07830, cusp: 0.00000
step 110, L: -0.346, E:-0.346            T: 0.37465, V: -1.05900, H: 0.33816, X: -0.07674, cusp: 0.00000
step 115, L: -0.396, E:-0.396            T: 0.56634, V: -1.37958, H: 0.41727, X: -0.09161, cusp: 0.00000
step 120, L: -0.481, E:-0.481            T: 0.31684, V: -1.09655, H: 0.29877, X: -0.06973, cusp: 0.00000
step 125, L: -0.483, E:-0.483            T: 0.40948, V: -1.21634, H: 0.32424, X: -0.07581, cusp: 0.00000
step 130, L: -0.471, E:-0.471            T: 0.55323, V: -1.39384, H: 0.36932, X: -0.08691, cusp: 0.00000
step 135, L: -0.437, E:-0.437            T: 0.33397, V: -1.06601, H: 0.29527, X: -0.06746, cusp: 0.00000
step 140, L: -0.570, E:-0.570            T: 0.46101, V: -1.34403, H: 0.31344, X: -0.07694, cusp: 0.00000
step 145, L: -0.500, E:-0.500            T: 0.39264, V: -1.19426, H: 0.30137, X: -0.07232, cusp: 0.00000
step 150, L: -0.254, E:-0.254            T: 0.23759, V: -0.72847, H: 0.23711, X: -0.05804, cusp: 0.00000
step 155, L: -0.481, E:-0.481            T: 0.24650, V: -0.96217, H: 0.23484, X: -0.05695, cusp: 0.00000
