step 0, E: 0.4814, T: 0.0764, V: -0.5479, C: 0.9529
step 5, E: -0.1449, T: 0.0753, V: -0.6122, C: 0.3920
step 10, E: 0.3732, T: 0.0661, V: -0.5057, C: 0.8128
step 0, E: -0.00992, T: 0.06953, V: -0.52728, C: 0.44783
step 5, E: -0.01590, T: 0.07017, V: -0.51340, C: 0.42732
step 10, E: 0.06247, T: 0.06700, V: -0.47935, C: 0.47481
step 0, E: -0.03195, T: 0.08059, V: -0.58836, C: 0.47582
step 5, E: -0.01598, T: 0.07440, V: -0.52900, C: 0.43862
step 10, E: 0.06232, T: 0.07716, V: -0.51707, C: 0.50224
step 0, E: 100.97751, T: 96.24272, V: -1.51829, C: 6.25308
step 5, E: 91.62153, T: 86.72760, V: -1.51777, C: 6.41170
step 10, E: 83.57270, T: 78.88308, V: -1.52049, C: 6.21011
step 15, E: 83.58352, T: 79.16724, V: -1.52855, C: 5.94483
step 20, E: 70.97011, T: 66.82295, V: -1.52500, C: 5.67216
step 0, E: 389.70567, T: 384.97089, V: -1.51829, C: 6.25308
step 0, E: 389.70567, T: 384.97089, V: -1.51829, C: 6.25308
step 0, E: 389.70567, T: 384.97089, V: -1.51829, C: 6.25308
step 5, E: 351.80763, T: 346.91198, V: -1.51606, C: 6.41171
step 10, E: 320.23616, T: 315.54289, V: -1.51691, C: 6.21017
step 15, E: 321.12255, T: 316.70027, V: -1.52273, C: 5.94502
step 20, E: 271.50784, T: 267.35193, V: -1.51664, C: 5.67255
step 0, E: 389.70567, T: 384.97089, V: -1.51829, C: 6.25308
step 5, E: 351.80763, T: 346.91198, V: -1.51606, C: 6.41171
step 10, E: 320.23616, T: 315.54289, V: -1.51691, C: 6.21017
step 15, E: 321.12255, T: 316.70027, V: -1.52273, C: 5.94502
step 20, E: 271.50784, T: 267.35193, V: -1.51664, C: 5.67255
step 0, E: 389.70567, T: 384.97089, V: -1.51829, C: 6.25308
step 5, E: 351.80763, T: 346.91198, V: -1.51606, C: 6.41171
step 10, E: 320.23616, T: 315.54289, V: -1.51691, C: 6.21017
step 15, E: 321.12255, T: 316.70027, V: -1.52273, C: 5.94502
step 20, E: 271.50784, T: 267.35193, V: -1.51664, C: 5.67255
step 0, E: 389.70567, T: 384.97089, V: -1.51829, C: 6.25308
step 5, E: 351.80763, T: 346.91198, V: -1.51606, C: 6.41171
step 10, E: 320.23616, T: 315.54289, V: -1.51691, C: 6.21017
step 15, E: 321.12255, T: 316.70027, V: -1.52273, C: 5.94502
step 20, E: 271.50784, T: 267.35193, V: -1.51664, C: 5.67255
step 0, E: 389.70567, T: 384.97089, V: -1.51829, C: 6.25308
step 5, E: 351.80763, T: 346.91198, V: -1.51606, C: 6.41171
step 10, E: 320.23616, T: 315.54289, V: -1.51691, C: 6.21017
step 15, E: 321.12255, T: 316.70027, V: -1.52273, C: 5.94502
step 20, E: 271.50784, T: 267.35193, V: -1.51664, C: 5.67255
