epoch,E,T,V,H,XC,t
0,-3212.0758038458825,182.7770103050323,-6530.823098208759,3167.1770854722795,-31.20680141443548,24.95085072517395
1,-3195.9082259474308,185.33764785290703,-6492.64379015547,3142.7611269772465,-31.363210622114945,21.780274152755737
2,-3294.5851787034553,186.7998660578107,-6541.557650215671,3091.686323887903,-31.513718433498923,21.07731819152832
3,-3236.8550618883296,183.13114277499338,-6477.53186914691,3088.710928651724,-31.165264168137124,21.675287008285522
4,-3360.0092130379016,185.45250188513975,-6512.207592197476,2998.1455761233838,-31.399698848949978,21.654679536819458
5,-3192.4135926625145,185.20460421411647,-6498.772995213479,3152.512878717974,-31.358080381125927,21.796438694000244
6,-3281.404958824429,182.39795026720589,-6513.667185700506,3080.932053384228,-31.06777677535686,20.938072681427002
7,-3301.6459981212674,183.1016139513736,-6471.508205007875,3017.932066387573,-31.17147345233766,21.019976377487183
8,-3175.023224876173,184.56960630295248,-6512.197448719976,3183.9204302954854,-31.31581275463588,21.71814751625061
9,-3280.499680024724,188.4377029247094,-6579.586449177795,3142.272847213251,-31.623780984889773,23.40160083770752
10,-3303.1010413712106,188.0942825014643,-6574.062199779054,3114.593060324483,-31.726184418102086,22.080339193344116
11,-3304.5156486532596,187.5979022473155,-6549.5355130704775,3089.0618894181307,-31.639927248228837,23.294641256332397
12,-3266.1942329850294,185.53574424735132,-6550.653200986117,3130.3448104466156,-31.421586692880375,21.807181119918823
13,-3289.214925598952,184.58593174248068,-6548.862043746733,3106.437407540967,-31.376221135665464,21.752056121826172
14,-3242.68709455251,187.87991514145932,-6571.1469736832005,3172.2529325503633,-31.672968561132663,21.7265522480011
15,-3470.5469348241713,182.71050570034708,-6579.3283647314065,2957.2096432331746,-31.13871902628586,22.797664642333984
16,-3398.7046096208624,185.29826324108154,-6557.932076383962,3005.3134812537523,-31.384277731733782,21.782551527023315
17,-3298.1919498274915,184.54628250497376,-6481.47002964328,3030.0792841248735,-31.347486814057596,21.779653549194336
18,-3258.4165099848797,185.7837668967012,-6543.079560191041,3130.319857164016,-31.4405738545559,21.81695318222046
19,-3304.9981650907116,186.41283876670676,-6544.550224018519,3084.620181330618,-31.480961169516625,22.65666890144348
20,-3337.1713986528075,184.6944688613206,-6539.138405124057,3048.5938194996406,-31.321281889713124,21.735788345336914
21,-3250.4308438915837,183.51574617746599,-6528.0145179937135,3125.206642628984,-31.138714704320176,21.813961267471313
22,-3313.3576298047024,185.1560166738473,-6520.7204162473645,3053.5682522481093,-31.361482479295244,21.732101440429688
23,-3273.802908532058,184.67100946988754,-6488.859597739803,3061.77799332005,-31.392313582192564,22.645904064178467
24,-3374.3645655509504,183.571742236646,-6525.385850905954,2998.633724206929,-31.184181088571435,21.71062684059143
25,-3241.931220735626,184.8341540166385,-6522.387358864056,3126.955985863559,-31.33400175176786,21.825225591659546
26,-3308.010033866565,183.1439498779396,-6526.139264858522,3066.115137451553,-31.129856337535294,21.77960777282715
27,-3298.4291919231405,181.93163619135277,-6482.566133035234,3033.2917573052614,-31.086452384520275,21.75748610496521
28,-3272.2296297313965,182.2384125678974,-6480.326988952613,3056.9941049489094,-31.13515829559053,21.759726762771606
29,-3184.9416205233324,185.089180969015,-6529.197474704876,3190.501900401688,-31.335227189160296,21.72759985923767
30,-3389.467222558327,185.45637022311334,-6553.089552174193,3009.608174143375,-31.442214750623076,21.71902871131897
31,-3299.4731859915737,185.32903262559188,-6527.484043244535,3074.0749865675953,-31.39316194022613,22.552663803100586
32,-3292.3453755764103,181.2053064352199,-6492.356861241288,3049.7332338927135,-30.927054663055337,21.889986991882324
33,-3236.958026156112,183.83870247591182,-6503.64628805869,3114.051052722925,-31.20149329625822,21.679423570632935
34,-3217.173138787605,182.44607518529287,-6481.982422578192,3113.479227843063,-31.116019237768818,21.978217363357544
35,-3253.374649077196,184.96742706870768,-6532.480559753569,3125.511623668546,-31.373140060881596,20.685938835144043
36,-3252.136919192446,184.31165363593337,-6525.0244341090365,3119.880059056129,-31.3041977754707,21.78227972984314
37,-3280.15213243451,185.8992411498335,-6510.271064030291,3075.624152665072,-31.404462219123737,21.808977127075195
38,-3221.6256634948427,183.29664438776038,-6528.848490454285,3155.114902377971,-31.188719806288457,21.87905716896057
39,-3226.647971936469,185.75722131790434,-6541.55192279559,3160.5267816202036,-31.380052078986534,20.917876958847046
40,-3278.0156790483798,184.73457042229845,-6536.179272122236,3104.7796857308053,-31.350663079247244,21.69727873802185
41,-3210.104695405747,186.3027824670421,-6553.01830143065,3188.0743163368497,-31.46349277898818,21.830163955688477
42,-3344.7255606903936,184.93483218616126,-6474.971912342779,2976.6209797840993,-31.309460317874983,21.8667995929718
43,-3289.4394605243942,187.9443107833353,-6603.976449523987,3158.2623829297518,-31.66970471349396,21.811774730682373
44,-3269.4902120363836,187.68844400279295,-6523.106308853172,3097.637931168559,-31.71027835456359,21.780959367752075
45,-3247.208184308489,183.3822120967944,-6489.05183687888,3089.6833721068947,-31.221931633298208,21.870186805725098
46,-3275.456468389092,186.1908701509688,-6569.689986840209,3139.5652975764638,-31.522649276315573,22.73267936706543
47,-3232.814651210141,184.3848694654529,-6489.306711226175,3103.373299195249,-31.266108644667792,21.77336573600769
48,-3144.422240687112,183.65602137019383,-6495.014405746527,3198.2069488779644,-31.270805188742173,21.01493740081787
49,-3312.335950800125,186.88046608995882,-6540.189484005513,3072.5179462410333,-31.544879125603575,22.673889636993408
50,-3284.3337437578634,185.6896795198255,-6517.354374011429,3078.7259144547274,-31.394963720987594,21.787465572357178
51,-3247.3382456898207,183.93623210816352,-6511.3159708854,3111.356783010352,-31.315289922936277,21.919999361038208
52,-3240.998553321049,185.8130311587393,-6513.8705850018805,3118.440882477511,-31.381881955418446,21.71823000907898
53,-3354.0289572574725,182.36429302204678,-6512.327745262898,3007.0088534296924,-31.074358446313237,20.968406677246094
54,-3365.117673721051,185.08554381257375,-6556.196964119692,3037.4059287287946,-31.412182142727406,21.86831259727478
55,-3260.337238984234,185.71707035316075,-6524.550892505048,3109.9138578658562,-31.41727469820271,21.86032199859619
56,-3101.9783218170824,184.7535286348073,-6565.262305154355,3309.834569393262,-31.304114690796546,21.959062337875366
57,-3326.209234344299,183.2817529639703,-6492.404877369743,3014.114609112683,-31.20071905120935,21.766958236694336
58,-3397.270857456591,188.5524054557471,-6551.325851255391,2997.272059760372,-31.769471417319394,21.588738679885864
59,-3189.724105522672,188.0909379692796,-6519.803057908295,3173.690398956977,-31.702384540632906,21.81014394760132
60,-3212.2679920833307,182.70566145285918,-6492.934822342893,3129.061654403124,-31.100485596421084,21.770042896270752
61,-3419.996997825809,183.5550114097599,-6495.168869660831,2922.838677038088,-31.22181661282591,21.88762331008911
62,-3222.8859954086347,183.69834824136598,-6498.00804800518,3122.64357453548,-31.21987018030046,21.876463174819946
