epoch,E,T,V,H,XC,t
0,-3212.0758038458825,182.7770103050323,-6530.823098208759,3167.1770854722795,-31.206801414435482,24.95085072517395
1,-3203.9513928416336,184.06376284165265,-6511.63751627243,3154.907759595377,-31.285399006234186,21.780274152755737
2,-3234.4667916032377,184.98497869841137,-6521.711296260741,3133.621797605055,-31.362271645965148,21.07731819152832
3,-3235.072890195048,184.51450961052987,-6510.499379113803,3122.2242541193946,-31.312274811170436,21.675287008285522
4,-3260.564922443178,184.70589774144932,-6510.847923252324,3096.907215896983,-31.33011282928739,21.654679536819458
5,-3248.9190742253436,184.79111779371607,-6508.784533152181,3106.409233118806,-31.334891985685186,21.796438694000244
6,-3253.7010056253284,184.43884285702617,-6509.5032609881,3102.6589850569303,-31.29557255118468,20.938072681427002
7,-3259.90705091127,184.26575067963466,-6504.585144918423,3091.6918523736886,-31.279509046169995,21.019976377487183
8,-3250.091934767846,184.30088550299263,-6505.465355547715,3102.356242120574,-31.283706843697185,21.71814751625061
9,-3253.272064985028,184.73352587059082,-6513.21715455788,3106.5308364862585,-31.319272783998013,23.40160083770752
10,-3258.0330190502664,185.05463236533456,-6519.030648761541,3107.3011488655457,-31.35815151960692,22.080339193344116
11,-3262.1242549890985,185.27848194596672,-6521.715578556518,3105.6957940397483,-31.382952418296924,23.294641256332397
12,-3262.45655511893,185.29948655489488,-6524.0782389197975,3107.7083040239418,-31.386106777969836,21.807181119918823
13,-3264.4952230688477,185.24512220831923,-6525.96646857173,3107.6114769047645,-31.385353610203328,21.752056121826172
14,-3262.936850044118,185.43340018135478,-6529.194993218247,3112.230649094709,-31.405906101936015,21.7265522480011
15,-3276.9133526393935,185.2500924108253,-6532.570018077013,3101.7944918481016,-31.387918821307494,22.797664642333984
16,-3284.6679517303573,185.2531595068203,-6534.184851515524,3095.6514272670042,-31.387686988657116,21.782551527023315
17,-3285.4851796893495,185.210444353703,-6530.999401031293,3091.6890347613366,-31.38525777309504,21.779653549194336
18,-3283.9279999498935,185.2434258876267,-6531.694336515682,3093.911350620248,-31.388439942084393,21.81695318222046
19,-3285.085109664168,185.30764650447225,-6532.4003429572895,3093.40110771659,-31.393520927939175,22.65666890144348
20,-3287.8225725023535,185.2754201538544,-6532.754470600883,3091.046202255761,-31.389724311085697,21.735788345336914
21,-3285.9376181374705,185.18671323214213,-6532.515524858384,3092.7682641550155,-31.377070666242872,21.813961267471313
22,-3287.266199017549,185.1852258928612,-6531.94401686746,3090.8689073294086,-31.376315372358057,21.732101440429688
23,-3286.638018087418,185.16123317345725,-6529.93374972579,3089.511560294489,-31.37706182957407,22.645904064178467
24,-3290.586487086341,185.0896920508492,-6529.729054134551,3085.42125549103,-31.368380493668823,21.71062684059143
25,-3288.4706438112594,185.07857961694916,-6529.40979010147,3087.2274521585728,-31.36688548531079,21.825225591659546
26,-3289.292810487178,184.99717543303387,-6529.272174911852,3086.339100907358,-31.35691191571774,21.77960777282715
27,-3289.6652972323373,184.8721945812282,-6527.367987609716,3084.1763811811593,-31.34588538500875,21.75748610496521
28,-3288.9756713204015,184.7680216654115,-6525.507393996336,3083.1012515921057,-31.33755058158343,21.759726762771606
29,-3284.978967515971,184.78035972781223,-6525.649156808543,3087.2272908879577,-31.33746132319863,21.72759985923767
30,-3288.88220137093,184.80561258566206,-6526.674212496775,3084.3277730029404,-31.34137446275848,21.71902871131897
31,-3289.2673005476577,184.824644680758,-6526.7036587820285,3083.9549710627207,-31.343257509108927,22.552663803100586
32,-3289.3763479432937,184.69642187724855,-6525.486849969625,3082.7425927816053,-31.328512632523992,21.889986991882324
33,-3287.5653648290863,184.6667888157619,-6524.732287681536,3083.824258320533,-31.324124283845283,21.679423570632935
34,-3285.1916781352197,184.59190443304,-6523.290725286553,3084.8242495201443,-31.317106801850784,21.978217363357544
35,-3284.143640771616,184.60427396485082,-6523.593433935724,3086.1644717092327,-31.31895250997651,20.685938835144043
36,-3283.1129974818114,184.5948513447392,-6523.639513341972,3087.2501419105665,-31.318477395145592,21.78227972984314
37,-3283.0197258514536,184.63594155378277,-6523.218387406566,3086.8839060456667,-31.32118604433776,21.808977127075195
38,-3281.1264306864473,184.5946397608796,-6523.392010823385,3088.988041372454,-31.31710099639667,21.87905716896057
39,-3279.480696216344,184.62976007424024,-6523.940601840687,3091.149148229641,-31.3190026795376,20.917876958847046
40,-3279.4373163151904,184.63286356178835,-6524.3029950731125,3091.552755356158,-31.319940160025816,21.69727873802185
41,-3277.423827787196,184.68135967392584,-6525.136916237066,3094.3558378473354,-31.324109071393263,21.830163955688477
42,-3279.341816873015,184.68858322510425,-6523.707295842333,3091.0005873501373,-31.32369160592608,21.8667995929718
43,-3279.624356645159,184.77968096574781,-6525.953287994005,3092.882623699721,-31.33337331662475,21.811774730682373
44,-3279.3458041350036,184.85963277980755,-6525.875034405108,3093.013330620053,-31.343733129757577,21.780959367752075
45,-3278.4776336482987,184.81972151567652,-6524.880287018994,3092.9233746208633,-31.340442765846582,21.870186805725098
46,-3278.397384802342,184.85614226269865,-6526.070531970795,3094.1622874803943,-31.345282574641022,22.73267936706543
47,-3277.206332820968,184.8438281613999,-6525.109913374891,3094.402966195532,-31.34321380300895,21.77336573600769
48,-3273.7918309290767,184.81328407685936,-6524.336016697336,3097.0722535292707,-31.34135183787118,21.01493740081787
49,-3274.7676464205133,184.86561860255998,-6524.737376464898,3096.450615948402,-31.346504506578203,22.673889636993408
50,-3275.006176294831,184.88616649582235,-6524.5532818874335,3096.008651930004,-31.347712833225422,21.787465572357178
51,-3274.3264305991656,184.86282850859112,-6524.22806764195,3096.385724801385,-31.34691626719291,21.919999361038208
52,-3273.5193883295306,184.8858378859058,-6523.977258800217,3096.9197955542136,-31.347762969434083,21.71823000907898
53,-3275.441621207737,184.82563390635744,-6523.699116981365,3094.7730970764583,-31.341235209189037,20.968406677246094
54,-3277.553408694079,184.8317545424932,-6524.464411003529,3093.4221537103303,-31.342905943373268,21.86831259727478
55,-3277.1534036334483,184.85232420522837,-6524.46642033771,3093.805326345813,-31.344633846779537,21.86032199859619
56,-3273.136500015676,184.85005874440984,-6525.40190234583,3098.759048296128,-31.343704710383143,21.959062337875366
57,-3274.3379640409635,184.8145553357446,-6524.654913539774,3096.8428619547594,-31.34046779169405,21.766958236694336
58,-3277.0861945922475,184.89811697340312,-6525.251156610485,3094.616903441921,-31.35005839708694,21.588738679885864
59,-3275.1570045621493,184.96862305331413,-6525.130847929555,3096.3630590205853,-31.35783870649472,21.81014394760132
60,-3273.7848255389267,184.91924736245636,-6524.428360973569,3097.076511576194,-31.352223504008858,21.770042896270752
61,-3276.9377725706927,184.8898287194637,-6523.797403749949,3093.3192138448503,-31.349411385058385,21.88762331008911
62,-3275.7855147183504,184.86442913393878,-6523.247634820527,3093.9443408368716,-31.346649868634298,21.876463174819946
63,-3275.951115842642,184.8839801667032,-6523.070534859868,3093.5831552202217,-31.34771636970086,21.85739016532898
64,-3275.447772787519,184.89287908930336,-6522.768787649165,3093.7765052044015,-31.348369432060128,21.638450384140015
65,-3275.7224527862063,184.9093696046413,-6523.033093696661,3093.7508035023047,-31.349532196491403,20.96186590194702
66,-3274.5543539275604,184.88088173268375,-6523.380305261862,3095.292405047681,-31.347335446063717,21.93527626991272
67,-3275.9009239952297,184.90724839852564,-6523.683545181326,3094.2236763480155,-31.34830356044604,21.838767051696777
68,-3272.050022162882,184.85175464051244,-6523.68797888597,3098.1289140633376,-31.3427119807633,21.828619718551636
69,-3271.076676384195,184.87756291288895,-6523.99179227372,3099.3833288245123,-31.345775847876528,21.912643432617188
70,-3269.343912036554,184.88118025278487,-6524.140618603705,3101.261910679971,-31.34638436560567,21.568583250045776
71,-3269.1870236864147,184.89248588460643,-6524.259650320729,3101.5278035687425,-31.347662819035232,22.727065801620483
72,-3270.367078287272,184.92275862886595,-6524.204724604919,3100.2642644370376,-31.34937674825667,22.681815147399902
73,-3270.62553744277,184.95522578077237,-6524.795858747292,3100.5657523867853,-31.350656863035777,22.773194789886475
74,-3272.411800290619,184.95931744313842,-6524.910062055743,3098.8908249911,-31.35188066911536,20.823435306549072
75,-3270.810250540362,184.94522738350315,-6525.124218601984,3100.7199372202363,-31.351196542118462,21.938029050827026
76,-3269.615015544422,184.90419054264115,-6524.468578017274,3101.2966008372473,-31.347228907035376,21.972627639770508
77,-3269.7414894436106,184.94329317539217,-6524.210917964855,3100.8777263525276,-31.35159100667558,20.984447240829468
78,-3267.7237392815023,184.94762131497154,-6524.055925194714,3102.7370347424244,-31.352470144184515,21.851263761520386
79,-3269.73588339314,184.91459755327617,-6524.094285484165,3100.7918397828607,-31.34803524511219,21.71151089668274
80,-3270.5613334877394,184.9571773351082,-6524.472306680298,3100.30489022192,-31.351094364469834,21.882966995239258
81,-3270.6601660471747,184.96228226281002,-6524.499427341956,3100.229024718883,-31.35204568691159,21.948516845703125
82,-3271.0308483102085,184.92941081748566,-6524.409289686157,3099.7950952216497,-31.346064663186834,22.921438932418823
83,-3272.237663716972,184.9698932225288,-6524.91872883898,3099.060301833178,-31.349129933698546,22.554344177246094
84,-3272.374633232394,184.99204368215194,-6525.270339833353,3099.25427406862,-31.350611149813027,22.049735069274902
85,-3273.3112242242537,184.99969738794638,-6525.568410225833,3098.6093136312265,-31.35182501759411,21.92727494239807
86,-3272.836454519136,185.00030240679177,-6526.243753283746,3099.7590052379305,-31.35200888011405,22.062080144882202
87,-3273.3863499475237,185.0090416962071,-6526.26250940731,3099.2198070038694,-31.352689240291607,21.83505606651306
88,-3271.6233842625425,185.01848518758405,-6525.912580999309,3100.6246112306676,-31.353899681486062,21.907623767852783
89,-3270.430493085802,185.02082544881145,-6525.8685688005235,3101.770899448988,-31.35364918307861,22.007047653198242
90,-3271.224090906134,185.06600319478963,-6526.421882997772,3101.4891013543925,-31.357312457544495,21.919091939926147
91,-3271.7374064958517,185.03760951921885,-6526.611782955174,3101.1915893056944,-31.3548223655908,22.61400818824768
92,-3272.396502876826,185.0087039873637,-6526.295486077059,3100.2423544684157,-31.352075255547145,22.06537127494812
93,-3271.7746908904546,185.02522294533674,-6526.369401059906,3100.9236564731395,-31.35416924902517,22.78226399421692
94,-3272.0825226578736,185.0264139332619,-6526.158486451008,3100.405367842544,-31.355817982672384,21.805607080459595
95,-3272.411488445721,185.01437239045634,-6526.4144467238875,3100.3433398064003,-31.35475391869059,21.964820623397827
96,-3273.0283621722356,185.03286116565243,-6526.30257675922,3099.5988007525816,-31.357447331251155,22.82381796836853
97,-3271.56311805992,185.0110075258801,-6526.262058012258,3101.043840471073,-31.355908044615795,22.018349647521973
98,-3272.3205180892187,185.00202435873607,-6526.352271265637,3100.3848567105356,-31.355127892855126,21.74670124053955
99,-3274.1793040413627,184.9727154131497,-6526.504859082839,3098.7059178540776,-31.35307822575125,21.960638284683228
100,-3274.357826349084,184.9065966494062,-6525.367630034679,3097.448523142188,-31.345316105999608,21.950005531311035
101,-3276.5945966855425,184.94712944716719,-6525.7503363315745,3095.558054213155,-31.349444014290604,21.753681898117065
102,-3276.804486506367,184.9692330915796,-6525.709889513203,3095.2874414558514,-31.351271540593697,22.0170476436615
103,-3277.778908525517,184.96159038138248,-6526.2701054138515,3094.8803449596217,-31.350738452670075,22.003900051116943
104,-3277.086078907477,184.95039803290146,-6525.890260236715,3095.2046873138793,-31.350904017542522,21.679661750793457
105,-3275.7530793969704,184.9254261194712,-6525.438549480374,3096.1089415645474,-31.34889760061416,22.266026258468628
106,-3277.8063303827485,184.9208373174005,-6525.2941530970365,3093.91520905608,-31.348223659190865,22.035460472106934
